Date,Close/Last,Volume,Open,High,Low,Daily Return,Cumulative Return,SMA_20,SMA_50,EMA_20,EMA_50,Volatility_20,Up_Streak,Down_Streak,Position,Strategy Return,Cumulative Strategy Return
2015-03-09,208.36,89621890,207.74,208.79,207.5459,0.0041445783132529,0.0297519027379662,209.743905,206.141664,209.11992257631871,207.1511721800628,0.0055492824070759,1,0,0,0.0,0.021519783617641952
2015-03-10,204.98,156656000,206.71,206.81,204.93,-0.0162219235937801,0.0130473460512012,209.761405,206.085864,208.7256442357169,207.06602817300148,0.0066396496881753,0,1,0,-0.0,0.021519783617641952
2015-03-11,204.5,109058000,205.29,205.5,204.4,-0.0023416918723777,0.0106751013146193,209.645905,206.007064,208.3232019275534,206.96539961719756,0.0061726336870846,0,2,0,-0.0,0.021519783617641952
2015-03-12,207.1,93451320,205.26,207.175,205.2,0.0127139364303179,0.0235247603044386,209.654405,205.974664,208.20670650588164,206.97067806358197,0.0068481921049231,1,0,0,0.0,0.021519783617641952
2015-03-13,205.8272,162353900,206.77,207.9338,204.58,-0.0061458232737807,0.0172343580112688,209.499765,205.939208,207.9800868386548,206.92583578657877,0.0065931441130913,0,1,0,-0.0,0.021519783617641952
2015-03-16,208.58,135571800,206.71,208.69,205.8641,0.0133743256479221,0.0308391815755666,209.439765,206.000008,208.0372214254496,206.9907049714188,0.0072438093870536,1,0,0,0.0,0.021519783617641952
2015-03-17,207.96,94322500,207.69,208.42,206.98,-0.0029724805829897,0.0277750321241483,209.332265,206.050608,208.0298670039782,207.02871654116709,0.0072545097677819,0,1,0,-0.0,0.021519783617641952
2015-03-18,210.46,227287200,207.39,211.27,206.62,0.012021542604347,0.040130473460513,209.348765,206.225408,208.26130824169456,207.1632766768076,0.0077764606837287,1,0,0,0.0,0.021519783617641952
2015-03-19,209.5,117697000,209.96,210.4697,209.03,-0.0045614368526085,0.0353859839873489,209.324765,206.419008,208.3792788853427,207.25491288556023,0.0078451305252437,0,1,0,-0.0,0.021519783617641952
2015-03-20,210.41,177517400,209.71,211.02,209.4903,0.0043436754176611,0.0398833646337857,209.283315,206.581008,208.57268089626243,207.3786417920089,0.0077862066450244,1,0,0,0.0,0.021519783617641952
2015-03-23,210.0,71619060,210.42,211.11,210.0,-0.0019485765885651,0.0378570722546218,209.222865,206.663008,208.70861604899932,207.48144015310655,0.0077963643919711,0,1,0,-0.0,0.021519783617641952
2015-03-24,208.82,76947650,209.85,210.4,208.74,-0.0056190476190476,0.0320253039438578,209.073365,206.754408,208.71922404433275,207.533932696122,0.0078485914641761,0,2,0,-0.0,0.021519783617641952
2015-03-25,205.76,159285600,209.07,209.35,205.71,-0.0146537687960923,0.0169022437481476,208.77986500000003,206.816608,208.43739318296767,207.4643667080388,0.0084482337488166,0,3,0,-0.0,0.021519783617641952
2015-03-26,205.27,152909900,204.96,206.37,204.12,-0.0023814152410573,0.0144805772462204,208.474365,206.880408,208.13573668935172,207.37831311164516,0.0084510730505736,0,4,0,-0.0,0.021519783617641952
2015-03-27,205.74,117057900,205.13,205.95,204.9,0.0022896672675012,0.0168034002174568,208.228365,206.978008,207.9075712903659,207.31406553863945,0.0084769597177868,1,0,0,0.0,0.021519783617641952
2015-03-30,208.25,95986750,206.98,208.61,206.96,0.0121998639059006,0.0292082633191668,208.041365,207.16261,207.94018354842623,207.35076885084965,0.0088438574180049,2,0,0,0.0,0.021519783617641952
2015-03-31,206.43,126569200,207.26,208.1,206.36,-0.0087394957983193,0.0202135020262934,207.806865,207.25861,207.79635654381423,207.3146602684634,0.0089930423335122,0,1,0,-0.0,0.021519783617641952
2015-04-01,205.7,137055500,206.39,206.42,204.51,-0.0035363077072131,0.016605713156075,207.58036,207.33151,207.59670353964145,207.25134025793545,0.0089818777192913,0,2,0,-0.0,0.021519783617641952
2015-04-02,206.435,86817710,205.62,206.98,205.4,0.0035731648031114,0.0202382129089664,207.37911,207.39861,207.48606510729465,207.21932691448697,0.0090300116190344,1,0,0,0.0,0.021519783617641952
2015-04-06,207.83,113960800,205.37,208.45,205.21,0.0067575750236152,0.0271325491746579,207.39561,207.43321,207.5188208113618,207.2432748786248,0.008626867510357,2,0,0,0.0,0.021519783617641952
2015-04-07,207.28,81058840,207.855,208.76,207.24,-0.0026463936871482,0.0244143520806576,207.34161,207.47941,207.49607597218449,207.24471507946305,0.0085934904236246,0,1,0,-0.0,0.021519783617641952
2015-04-08,207.975,89261180,207.55,208.51,207.08,0.0033529525279814,0.027849164772167,207.49136,207.52991,207.54168778435735,207.27335370379785,0.0077488346042994,1,0,0,0.0,0.021519783617641952
2015-04-09,208.9,85426740,207.78,209.18,207.19,0.0044476499579277,0.032420678066622,207.71136,207.65311,207.67105085251384,207.3371437546293,0.0077547917959033,2,0,0,0.0,0.021519783617641952
2015-04-10,210.04,72471010,209.2,210.09,208.96,0.0054571565342267,0.0380547593160041,207.85836,207.85111,207.89666505703636,207.4431381171929,0.0073412057954093,3,0,1,0.0,0.021519783617641952
2015-04-13,209.09,74139030,209.87,210.63,209.03,-0.0045229480099028,0.0333596916081855,208.0215,207.993106,208.01031600398525,207.50772093612647,0.0072698204467313,0,1,1,-0.0045229480099028,0.016899502745252093
2015-04-14,209.49,74795430,208.85,209.71,208.1,0.0019130517958774,0.0353365622220038,208.067,208.193906,208.15123828932,207.5854573700039,0.0066529883335213,1,0,1,0.0019130517958774,0.0188448841652058
2015-04-15,210.43,99415800,210.05,211.04,209.95,0.0044870876891498,0.0399822081644769,208.1905,208.364106,208.36826321414665,207.69700806137627,0.006672557155409,2,0,1,0.0044870876891498,0.0234165305020968
2015-04-16,210.37,68783390,210.03,210.98,209.7928,-0.0002851304471795,0.0396856775724041,208.186,208.474706,208.55890481279937,207.80183127465563,0.0061085980989471,0,1,1,-0.0002851304471795,0.023124723289103866
2015-04-17,207.95,191012500,208.94,209.23,207.01,-0.0115035413794742,0.0277256103588032,208.1085,208.552506,208.50091387824705,207.8076418129044,0.0065616473741206,0,2,1,-0.0115035413794742,0.011355165698384573
2015-04-20,209.85,92026870,209.06,210.25,208.96,0.0091368117335899,0.0371157457744404,208.0805,208.62710600000003,208.62939827079492,207.8877342908297,0.0068244008549916,1,0,1,0.0091368117335899,0.02059572744316429
